CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,TearGas,CountLove,AdHoc,Source4,Source5,Source6,Source7,Source8,Source9,,,,,,,,
Detroit,1 Washington Blvd,,MI,US,2020-08-17,count: FB,20,,20,,,general protesters,against child sex trafficking,0,protest,,,,,0,1,,https://docs.google.com/spreadsheets/d/1kcIw4M3NIm303fMPa4OZw-Q3FWyzKpKNq9GAdqULt9c/edit?fbclid=IwAR3uVAUmrWDYjZQdNvrJ-6CCxEZ2MNetU5LjOplSdETFZmzeTB2xNNmc6uE#gid=437397467,https://www.facebook.com/events/s/human-trafficking-protest-detr/709655119882935/,,,,,1,,,,,,,,,,,,,,
Doylestown,Central Bucks West High School,,PA,US,2020-08-17,,,,,,,Students of Central Bucks West High School,in support of teachers and school staff during coronavirus pandemic,0,rally,0,0,0,0,1,1,20200817-doylestown-covidschool,https://6abc.com/education/parents-students-rallied-in-bucks-county-amid-districts-100-percent-virtual-plan-through-nov-11/6372209/,,,,,,,,,,,,,,,,,,,,
Doylestown,Central Bucks West High School,,PA,US,2020-08-17,,,,,,,parents ,against online-only schooling during coronavirus pandemic,0,counter-protest,0,0,0,0,0,1,20200817-doylestown-covidschool,https://6abc.com/education/parents-students-rallied-in-bucks-county-amid-districts-100-percent-virtual-plan-through-nov-11/6372209/,,,gathered down the street from rally,,,,,,,,,,,,,,,,,
Duluth ,,,MN,US,2020-08-17,,,,,,,American Indian Movement,"against housing crisis in St. Louis County, for more support for unhoused indigenous people",0,rally,0,0,0,0,1,1,,https://kbjr6.com/2020/08/17/local-organization-rallies-to-raise-awareness-on-the-homeless-spike-in-st-louis-county/,,,,,0,1,,,,,,,,,,,,,,
Fort Worth,Fort Worth ISD administration building,,TX,US,2020-08-17,,,,,,,parents; children,for in-person school during coronavirus pandemic,0,protest,,,,,1,1,,https://www.star-telegram.com/news/local/education/article245017940.html,,,,,,,,,,,,,,,,,,,,
Frankfort,state courthouse steps,,KY,US,2020-08-17,several dozen,36,,36,,,parents,"for in-person school during coronavirus pandemic, no taxation without education, my child my choice",0,protest,0,0,0,0,1,1,,https://www.wymt.com/2020/08/17/parents-protest-in-frankfort-to-demand-schools-reopen-for-in-person-classes/,,,,,,,,,,,,,,,,,,,,
Glens Falls,City Park; Glen Falls City Hall,,NY,US,2020-08-17,10-20,10,,20,,,general protesters,"for defunding Glens Falls Police Department, against racism",1,rally; march,0,0,0,0,1,1,20200817-glenfalls-defundpolice,https://www.news10.com/news/words-fly-by-megaphone-at-rally-to-defund-glens-falls-police-department/,,,,0,,,,,,,,,,,,,,,,
Glens Falls,City Park,,NY,US,2020-08-17,somewhat larger [than 10-20],20,,30,,,North County Deplorables,"against defunding Glens Falls Police Department, for patriotism, for freedom, Thin Blue Line, police protect our God-given constitutional rights, Democrats destroy",2,counter-protest,0,0,0,0,0,1,20200817-glenfalls-defundpolice,https://www.news10.com/news/words-fly-by-megaphone-at-rally-to-defund-glens-falls-police-department/,,,verbally confronted protesters; megaphones,0,,,,,,,,,,,,,,,,
Goshen,South Main St,,IN,US,2020-08-17,,3,,3,,,general protesters,"against ICE, for justice for Vanessa Guillen",1,demonstration,0,0,0,0,1,1,,https://www.goshennews.com/news/race-and-mask-politics-at-forefront-of-year-of-protests/article_82e4d46a-4acc-11eb-a577-1fd42be40248.html,,,,,,1,,,,,,,,,,,,,,
Greene Township,"Combined Tactical Systems, Kinsman Road",,PA,US,2020-08-17,about 35,35,,35,,,general protesters,against production of tear gas and other weapons for police and military,1,direct action,5,0,0,0,1,1,,https://triblive.com/local/regional/5-arrested-at-protest-outside-mercer-county-police-military-equipment-company/,https://www.wfmj.com/story/42514800/lake-milton-man-arrested-at-mercer-county-tear-gas-protest,,the 5 protesters arrested were sitting in front of the gate with their arms linked together,,1,,,,,,,,,,,,,,,
Kalispell,,,MT,US,2020-08-17,,,,,,,fire and wildlife supporters,"for state legislation on wildfire logging, for environmental conservation",1,rally,0,0,0,0,1,1,,https://missoulian.com/news/state-and-regional/daines-rallies-support-for-wildfire-logging-bill/article_0e9a6583-3a52-5ab8-83bc-dca34cd1c677.html,,,,0,1,,,,,,,,,,,,,,,
Lafayette,El Curtola Blvd & Highway 24,,CA,US,2020-08-17,,,,,,,Contra Costa County Patriots,for President Trump,2,demonstration,,,,,1,1,,https://www.sfgate.com/news/bayarea/article/Council-To-Ask-State-To-Remove-Highway-Overpass-16006373.php,,,,,,1,,,,,,,,,,,,,,
Lancaster,Gerald G. Huesken Middle School,,PA,US,2020-08-17,around 100,100,,100,,,Conestoga Valley Education Association,"against full-time in-person schooling during coronavirus pandemic, for switch to hybrid schooling, for safe workplaces for teachers",0,protest,0,0,0,0,1,1,,https://lancasteronline.com/news/local/conestoga-valley-delays-start-of-school-keeps-full-time-in-person-instruction-despite-teacher-protest/article_3216d400-e10b-11ea-b376-cb1f18d738aa.html,,,,0,1,,,,,,,,,,,,,,,
Livonia,Livonia City Hall,,MI,US,2020-08-17,about 14,14,,14,,,general protesters,for racial justice; Black Lives Matter,1,rally,0,0,0,0,1,1,,https://www.hometownlife.com/picture-gallery/news/local/livonia/2020/08/20/racial-justice-rally-livonia-city-hall/3391024001/,,,,,,,,,,,,,,,,,,,,
Longmont,"U.S. Post Office, Coffman St",,CO,US,2020-08-17,more than 20,20,,20,,,general protesters,"for the U.S. Postal Service, for democracy",1,protest,0,0,0,0,0,1,,https://www.timescall.com/2020/08/17/democracy-needs-usps-residents-rally-for-u-s-postal-service-in-longmont/,,,,0,1,,,,,,,,,,,,,,,
Longview,AAON Coil,,TX,US,2020-08-17,about 20,20,,20,,,members of the local International Brotherhood of Electrical Workers,against union busting,0,protest,0,0,0,0,1,1,,https://www.news-journal.com/news/business/local/dispute-over-firing-leads-to-protest-outside-aaon-in-longview/article_19edd31a-e18d-11ea-96d4-1365e375ba33.html,,,,,,,,,,,,,,,,,,,,
Lowell,Lowell City Hall,,MA,US,2020-08-17,about 150,150,,150,,,firefighters,against city's decision to offer fire chief job to someone from outside Lowell,0,protest,0,0,0,0,1,1,,https://www.lowellsun.com/2020/08/18/outside-chief-pick-quits-as-lowell-firefighters-protest/,,,the chief job was offered to a deputy chief from Arlington; the protest caused Arlington choice to withdraw from consideration,0,1,,,,,,,,,,,,,,,
Mankato,Mankato Regional Airport,,MN,US,2020-08-17,about 500,500,,500,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,20200817-mankato-trump,https://www.dailycitizen.news/news/local_news/trump-offers-combative-message-in-campaign-like-rally-kickoff-in-minnesota/article_5104c2f9-2bf0-5ee9-8cef-3264ac019e77.html,https://heavy.com/news/2020/08/trump-mankato-minnesota-rally-crowd-photos/,https://www.mankatofreepress.com/news/local_news/update-100-vehicle-caravan-rallies-for-trump-in-mankato/article_6365a0d4-e090-11ea-ba2f-47125084e4ff.html,feat. President Trump,0,1,,,,,,,,,,,,,,,
Mankato,Veterans Memorial Bridge,,MN,US,2020-08-17,nearly 500,500,,500,,,Indivisible St. Peter/Mankato,"against President Trump, for immigrant rights, for environmental protection, for universal healthcare, for Democratic candidates for office, for Biden for president, for patriotism",1,demonstration,0,0,0,0,0,1,20200817-mankato-trump,https://www.dailycitizen.news/news/local_news/500-protesters-launch-counter-offensive-to-trump-rally/article_f8bff3a3-b15f-5758-9edd-d085ca18c10d.html,https://www.mankatofreepress.com/news/500-protesters-launch-counter-offensive-to-trump-rally/article_3f56a1ec-e0d2-11ea-8a1b-ef7e13b2f7f5.html,https://www.mankatofreepress.com/news/local_news/update-100-vehicle-caravan-rallies-for-trump-in-mankato/article_6365a0d4-e090-11ea-ba2f-47125084e4ff.html,lined bridge near venue for Trump rally,0,,,,,,,,,,,,,,,,
Mankato,Veterans Memorial Bridge,,MN,US,2020-08-17,,,,,,,general protesters,for President Trump,2,counter-protest,0,0,0,0,0,1,20200817-mankato-trump,https://www.dailycitizen.news/news/local_news/500-protesters-launch-counter-offensive-to-trump-rally/article_f8bff3a3-b15f-5758-9edd-d085ca18c10d.html,,,some Trump supporters driving through stopped their cars and argued with demonstrators,0,,,,,,,,,,,,,,,,
Mankato,Roadhouse 169 Bar and Grill,,MO,US,2020-08-17,hundreds,200,,200,,,general protesters,for President Trump,2,caravan,0,0,0,0,0,1,,https://www.mankatofreepress.com/news/local_news/update-100-vehicle-caravan-rallies-for-trump-in-mankato/article_6365a0d4-e090-11ea-ba2f-47125084e4ff.html,,,,0,,,,,,,,,,,,,,,,
Memphis,,,TN,US,2020-08-17,four,4,,4,,,general protesters,"against criminal violence, for valuing Black lives",1,march,0,0,0,0,1,1,,https://wreg.com/news/handful-of-protesters-march-after-memphis-teen-is-gunned-down-over-the-weekend/,,,,,,1,,,,,,,,,,,,,,
Milwaukee,,,WI,US,2020-08-17,,,,,,,Democrats,for Joe Biden for president,1,rally,0,0,0,0,1,1,,https://www.nbcboston.com/news/politics/michelle-obama-assails-trump-as-democrats-open-convention/2179193/,https://apnews.com/article/virus-outbreak-election-2020-us-news-ap-top-news-democratic-national-convention-fd1ec0b8c19b4d942972b6de5379857d,,,0,1,,,,,,,,,,,,,,,
Nashville,Legislative Plaza,,TN,US,2020-08-17,,,,,,,Silent No Longer,against sexual assault within the Metro Nashville Police Department,0,rally,0,0,0,0,1,1,,https://www.wsmv.com/news/group-holds-support-rally-for-alleged-victims-of-mnpd-sexual-misconduct/article_5ade4cbe-e139-11ea-8e30-0f8f19823f5e.html,https://www.newschannel5.com/news/rally-held-against-alleged-discrimination-sexual-misconduct-in-mnpd,,,0,1,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-08-17,,,,,,,Upper East Side for Black Lives Matter,antiracism; against police brutality,1,vigil; march,,,,,1,1,,https://www.instagram.com/p/CD_Vs9lj96i/,https://www.instagram.com/p/CEVS4eZD4RS/,,,,,1,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-08-17,,,,,,,general protesters,"against racism, against police brutality",1,vigil,,,,,0,1,,https://www.instagram.com/p/CEAuHZPD9_x/,,,,,,1,,,,,,,,,,,,,,
North Adams,North Adams City Hall,,MA,US,2020-08-17,,,,,,,general protesters,calling for an option to go back to school in person amid the covid pandemic,0,rally,0,0,0,0,1,1,,https://www.berkshireeagle.com/archives/at-north-adams-protest-parents-students-call-for-in-person-return-to-school/article_f0d9018a-2775-5dd3-ab21-7068519999db.html,,,,,,,,,,,,,,,,,,,,
Oak Park,outside a post office,,MI,US,2020-08-17,,,,,,,general protesters,"for the U.S. Postal Service, for democracy",1,protest,0,0,0,0,1,1,,https://mobile.reuters.com/news/picture/americans-protest-cuts-to-us-postal-serv-idUSRTX7QCX6,,,,0,1,,,,,,,,,,,,,,,
Oshkosh,Wittman Regional Airport,,WI,US,2020-08-17,several hundred,300,,300,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,20200817-oshkosh-trump,https://www.wisconsinrapidstribune.com/story/news/2020/08/17/trump-speech-livestream-and-updates-presidents-oshkosh-visit/5600638002/,https://www.wisconsinrapidstribune.com/story/news/politics/elections/2020/08/17/2020-dnc-trump-counter-bidens-nomination-oshkosh-rally/3382004001/,https://www.wbay.com/2020/08/18/president-trump-discusses-jobs-economy-at-oshkosh-rally/,feat. President Trump,0,1,1,https://heavy.com/news/2020/08/trump-oshkosh-wisconsin-rally-crowd-photos/,,,,,,,,,,,,,
Oshkosh,19th St; McCurdy St; Arizona St,,WI,US,2020-08-17,over 150,150,,150,,,general protesters,"against President Trump, against racism, for climate action, for Medicare for all",1,counter-protest,0,0,0,0,0,1,20200817-oshkosh-trump,https://www.wisconsinrapidstribune.com/story/news/2020/08/17/trump-speech-livestream-and-updates-presidents-oshkosh-visit/5600638002/,http://www.fightbacknews.org/2020/8/18/coalition-march-dnc-joins-march-against-trump-oshkosh-wi,,in streets protesting against the Trump rally,0,1,,,,,,,,,,,,,,,
Oshkosh,19th St; McCurdy St; Arizona St,,WI,US,2020-08-17,,,,,,,general protesters,for President Trump,2,counter-protest,0,0,0,0,0,1,20200817-oshkosh-trump,https://www.wisconsinrapidstribune.com/story/news/2020/08/17/trump-speech-livestream-and-updates-presidents-oshkosh-visit/5600638002/,https://www.wisconsinrapidstribune.com/story/news/politics/elections/2020/08/17/2020-dnc-trump-counter-bidens-nomination-oshkosh-rally/3382004001/,https://www.wbay.com/2020/08/18/president-trump-discusses-jobs-economy-at-oshkosh-rally/,in streets counter-protesting the people protesting the Trump rally,0,1,,,,,,,,,,,,,,,
Overland Park,Overland Park City Hall,,KS,US,2020-08-17,around 20,20,,20,,,general protesters,"against severance payment given to police officer who shot and killed John Albers, against arrests of protesters, against police violence",1,protest,0,0,0,0,1,1,,https://www.kansascity.com/news/politics-government/article245042000.html,,,disrupted regular city council meeting,0,1,,,,,,,,,,,,,,,
Pendleton,Eastern Oregon Correctional Institute,,OR,US,2020-08-17,at least 4,4,,4,,,inmates,against inhumane conditions in prison's solitary confinement unit,0,hunger strike,0,0,0,0,1,1,,https://www.eastoregonian.com/coronavirus/four-eoci-inmates-on-hunger-strike-against-solitary-confinement-conditions/article_0360db40-e180-11ea-98e6-1fc8a13edcf0.html,,,,,,1,,,,,,,,,,,,,,
Philadelphia,Temple University,,PA,US,2020-08-17,some 20,20,,20,,,"students, faculty, community members",against reopening Temple University during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.inquirer.com/education/temple-university-move-in-day-protest-cornavirus-20200817.html,,,,,,,,,,,,,,,,,,,,
Philadelphia,,,PA,US,2020-08-17,over 400,400,,400,,,Philadelphia Housing Action,for housing rights,1,rally,,,,,1,1,,https://itsgoingdown.org/occupy-takeover-how-philadelphia-housing-action-turned-vacant-buildings-into-homes/,,,,,,,,,,,,,,,,,,,,
Portland,Tom McCall Waterfront Park; Hawthorne Bridge; Steel Bridge; Bagley Community Park,,OR,US,2020-08-17,"more than 1,200 [protesters and counter-protesters]",400,,800,,,Proud Boys; Patriot Prayer,"against antifa, for patriotism",2,rally,unspecified,unspecified,0,0,1,1,20200817-portland-antiantifa,https://www.oregonlive.com/portland/2019/08/portland-protests-antifa-right-wing-groups-set-to-face-off-downtown-live-updates.html,,,organized by Joey Biggs; several hours of verbal clashes and skirmishes between protesters and counter-protesters roaming around area; police used pepper balls,1,,1,,,,,,,,,,,,,,
Portland,Tom McCall Waterfront Park; Hawthorne Bridge; Steel Bridge; Pioneer Courthouse Square,,OR,US,2020-08-17,"more than 1,200 [protesters and counter-protesters]",400,,800,,,Rose City Antifa,"against Proud Boys, against racism, against fascism, go home Nazis",1,counter-protest,unspecified,unspecified,0,1,0,1,20200817-portland-antiantifa,https://www.oregonlive.com/portland/2019/08/portland-protests-antifa-right-wing-groups-set-to-face-off-downtown-live-updates.html,,,some in black bloc; several hours of verbal clashes and skirmishes between protesters and counter-protesters roaming around area; police used pepper balls,1,,1,,,,,,,,,,,,,,
Red Lodge,Lions Park to Broadway Ave,,MT,US,2020-08-17,872,872,,872,,,Carbon County Republicans,"to support the Red Lodge Police Department, the Carbon County Sheriff’s Office and the military; for President Trump",2,caravan,0,0,0,0,1,1,,https://missoulacurrent.com/montana-today/2020/08/march-law-enforcement/,,,,,,,,,,,,,,,,,,,,
Richmond,Virginia Commonwealth University,,VA,US,2020-08-17,nearly 100,100,,100,,,students,against reopening Virginia Commonwealth University during pandemic,0,protest,,,,,1,1,,https://richmond.com/news/local/crime-and-courts/watch-now-students-protest-on-first-day-of-classes-at-vcu-criticizing-its-reopening-during/article_89704cbe-b3d3-504c-8727-5f07da72138a.html,,,,,,,,,,,,,,,,,,,,
Seattle,Lakeridge Elementary School,,WA,US,2020-08-17,,,,,,,Morning March Seattle,"against racism, against police violence, for racial justice in education",1,march,,,,,1,1,,https://www.instagram.com/p/CD_1EUrpovH/,https://www.instagram.com/p/CEAHU9jp_5r/,https://www.instagram.com/p/CEAJu83J8v4/,,,,1,,,,,,,,,,,,,,
Seattle,outside a Seattle post office,,WA,US,2020-08-17,,,,,,,state and local elected officials,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,protest,0,0,0,0,1,1,,https://www.seattletimes.com/seattle-news/we-will-win-this-battle-washington-democrats-rally-at-seattle-post-office-in-support-for-u-s-postal-service/,,,,0,1,,,,,,,,,,,,,,,
Seattle,,,WA,US,2020-08-17,,,,,,,Picket 4 Change Seattle,"against racism, against police violence, for defunding police, against Mayor Durkan",1,picket,,,,,0,1,,https://www.instagram.com/p/CEAyIyBJwxq/,,,Day 29 [with gaps],,,1,,,,,,,,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,CA,US,2020-08-17,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,1,,,,,,,,,,,,,,
Statesville,Broad St & Center St,,NC,US,2020-08-17,,,,,,,Statesville4Change,"for removal of Confederate statue, Black Lives Matter",1,demonstration,,,,,1,1,,https://statesville.com/news/local/as-protests-near-100-days-elowehi-onole-said-there-is-no-plan-to-stop-in/article_5dd17c3a-fe66-11ea-a0e8-4b7d70be3639.html,,,,,,1,,,,,,,,,,,,,,
Sturgis,Main St,,SD,US,2020-08-17,,,,,,,general protestors,"against allowing Sturgis motorcycle rally to proceed during coronavirus pandemic, against Governor Noem",1,protest,1,0,0,0,1,1,,https://www.valleynewslive.com/2020/08/17/chief-protester-kicks-at-biker-during-sturgis-rally/,https://brookingsregister.com/article/chief-protester-kicks-at-biker-during-sturgis-rally,,,,,,,,,,,,,,,,,,,
