CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Indianapolis,Richard G. Lugar Plaza,Marion,IN,US,2020-01-04,FB: 58,58,,58,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://www.answercoalition.org/national_action_us_troops_out_of_iraq,https://www.facebook.com/events/568435740402995/,https://www.santafenewmexican.com/news/local_news/anti-war-protesters-take-to-streets-in-santa-fe-across/article_9f937c3a-2f32-11ea-92cf-a3bd2b4d2283.html,,
Iowa City,Pedestrian Mall,Johnson ,IA,US,2020-01-04,FB: 107,107,,107,,,Veterans for Peace; Code Pink,against war with Iran,1,protest,,,,,1,1,https://twitter.com/moivelous/status/1213538233281331201,https://www.facebook.com/events/466863654203922/,https://www.press-citizen.com/story/news/2020/01/04/over-100-protesters-call-deescalation-tension-iran/2814359001/,,
Ithaca,at Corner of Clinton and Meadow Streets by CVS,Tompkins,NY,US,2020-01-04,FB: 23,23,,23,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/543031179619625/,,,,
Jackson,Smith Park,Hinds,MS,US,2020-01-04,,,,,,,ANSWER Coalition,against war with Iran,1,protest,,,,,1,1,https://www.answercoalition.org/national_action_us_troops_out_of_iraq,https://www.facebook.com/events/2433503060109862/,,,
Kennewick,N Columbia Center Blvd and W Quinalt,Benton,WA,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.answercoalition.org/national_action_us_troops_out_of_iraq,,,,
Knoxville,,Knox,TN,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.answercoalition.org/national_action_us_troops_out_of_iraq,,,,
Lancaster,Lancaster County Prison,Lancaster,PA,US,2020-01-04,FB: 19,19,,19,,,Party for Socialism and Liberation; Peace Action Network of Lancaster,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/844744925949934/,,,,
Lansing,Capitol,Ingham,MI,US,2020-01-04,FB: 44,44,,44,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/s/national-day-of-action-no-war-/786916675152784/,,,,
Las Vegas,,San Miguel,NM,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.santafenewmexican.com/news/local_news/anti-war-protesters-take-to-streets-in-santa-fe-across/article_9f937c3a-2f32-11ea-92cf-a3bd2b4d2283.html,,,,
Las Vegas,Federal Courthouse,Clark,WI,US,2020-01-04,FB: 28,28,,28,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://twitter.com/HerreraJoshio/status/1213537162597040128,https://www.facebook.com/events/s/las-vegas-national-day-of-acti/465843944041228/,,,
